T,D,P
本質,본질,ほんしつ
基準,기준,きじゅん
特化,특화,とくか
丁寧,정중,ていねい
秒間,(몇)초간,びょうかん
朝起,조기(아침기상),あさおき
述語,(서)술어,じゅつご
今私,지금(의)저,いまわたし
特徴,특징,とくちょう
基本,기본,きほん
方針,방침,ほうしん
参考,참고,さんこう
要因,요인,よういん
共通,공통,きょうつう
対応,대응,たいおう
重視,중시,じゅうし
見解,견해,けんかい
普通,보통,ふつう
目指,목표,めざし
提示,제시,ていじ
見直,재검토,みなおし
誤差,오차,ごさ
即座,즉좌(그자리),そくざ
成立,성립,せいりつ
工夫,공부(고안),くふう
生成,생성,せいせい
展開,전개,てんかい
先生,선생,せんせい
一点,일점,いってん
素早,재빠르다,すばや
演化,연(속_진)화,えんか
複雑,복잡,ふくざつ
実戦,실전,じっせん
誠実,성실,せいじつ
一部,일부,いちぶ
主旨,주지(주제),しゅし
了解,요해(양해),りょうかい
発生,발생,はっせい
返答,대답,へんとう
一人,혼자,ひとり
役割,역할,やくわり
慎重,신중,しんちょう
活用,활용,かつよう
配分,배분,はいぶん
余分,여분,よぶん
把握,파악,はあく
主題,주제,しゅだい
固定,고정,こてい
今後,금후(앞으로),こんご
範囲,범위,はんい
様子,모양,ようす
修飾,수식,しゅうしょく
注目,주목,ちゅうもく
以上,이상,いじょう
特定,특정,とくてい
手間,수고,てま
余地,여지,よち
気分,기분,きぶん
分後,(몇)분후,ぶんご
確証,확증,かくしょう
傾向,경향,けいこう
立場,설곳/입장,たちば
証拠,증거,しょうこ
面接,면접,めんせつ
多用,다용,たよう
価値,가치,かち
優先,우선,ゆうせん
描写,묘사,びょうしゃ
核心,핵심,かくしん
現象,현상,げんしょう
安心,안심,あんしん
以前,이전,いぜん
支援,지원,しえん
不要,불(필)요,ふよう
想定,상저,そうてい
断絶,단절,だんぜつ
文型,문형,ぶんけい
名詞,명사,めいし
成長,성장,せいちょう
最近,최근,さいきん
現場,현장,げんば
関心,관심,かんしん
程度,정도,ていど
承知,승낙/용서,しょうち
活動,활동,かつどう
集中,집중,しゅうちゅう
別軸,별축(비상용어),べつじく
論点,논점,ろんてん
文脈,문맥,ぶんみゃく
